nation,manager,player,position,club,age
Senegal,,Cherif Ndiaye,4 FW,Samsunspor,
Senegal,,Ibrahim Mbaye,4 FW,Paris Saint-Germain,
Senegal,,Assane Diao,4 FW,Como,
Argentina,,Emiliano Martínez,1 GK,Aston Villa,
Argentina,,Gerónimo Rulli,1 GK,Marseille,
Argentina,,Juan Musso,1 GK,Atlético Madrid,
Argentina,,Walter Benítez,1 GK,Crystal Palace,
Argentina,,Facundo Cambeses,1 GK,Racing,
Argentina,,Santiago Beltrán,1 GK,River Plate,
Argentina,,Nicolás Otamendi,2 DF,Benfica,
Argentina,,Nicolás Tagliafico,2 DF,Lyon,
Argentina,,Marcos Acuña,2 DF,River Plate,
Argentina,,Nahuel Molina,2 DF,Atlético Madrid,
Argentina,,Cristian Romero,2 DF,Tottenham Hotspur,
Argentina,,Germán Pezzella,2 DF,River Plate,
Argentina,,Gonzalo Montiel,2 DF,River Plate,
Argentina,,Lisandro Martínez,2 DF,Manchester United,
Argentina,,Lucas Martínez Quarta,2 DF,River Plate,
Argentina,,Leonardo Balerdi,2 DF,Marseille,
Argentina,,Facundo Medina,2 DF,Marseille,
Argentina,,Marcos Senesi,2 DF,Bournemouth,
Argentina,,Agustín Giay,2 DF,Palmeiras,
Argentina,,Kevin Mac Allister,2 DF,Union Saint-Gilloise,
Argentina,,Gabriel Rojas,2 DF,Racing,
Argentina,,Nicolás Capaldo,2 DF,Hamburger SV,
Argentina,,Lautaro Di Lollo,2 DF,Boca Juniors,
Argentina,,Zaid Romero,2 DF,Getafe,
Argentina,,Rodrigo De Paul,3 MF,Inter Miami CF,
Argentina,,Leandro Paredes,3 MF,Boca Juniors,
Argentina,,Giovani Lo Celso,3 MF,Real Betis,
Argentina,,Alexis Mac Allister,3 MF,Liverpool,
Argentina,,Enzo Fernández,3 MF,Chelsea,
Argentina,,Exequiel Palacios,3 MF,Bayer Leverkusen,
Argentina,,Guido Rodríguez,3 MF,Valencia,
Argentina,,Thiago Almada,3 MF,Atlético Madrid,
Argentina,,Nicolás Domínguez,3 MF,Nottingham Forest,
Argentina,,Giuliano Simeone,3 MF,Atlético Madrid,
Argentina,,Nico Paz,3 MF,Como,
Argentina,,Valentín Barco,3 MF,Strasbourg,
Argentina,,Emiliano Buendía,3 MF,Aston Villa,
Argentina,,Máximo Perrone,3 MF,Como,
Argentina,,Aníbal Moreno,3 MF,River Plate,
Argentina,,Milton Delgado,3 MF,Boca Juniors,
Argentina,,Equi Fernández,3 MF,Bayer Leverkusen,
Argentina,,Alan Varela,3 MF,Porto,
Argentina,,Lionel Messi ( captain ),4 FW,Inter Miami CF,
Argentina,,Lautaro Martínez,4 FW,Inter Milan,
Argentina,,Julián Alvarez,4 FW,Atlético Madrid,
Argentina,,Nicolás González,4 FW,Atlético Madrid,
Argentina,,Alejandro Garnacho,4 FW,Chelsea,
Argentina,,Franco Mastantuono,4 FW,Real Madrid,
Argentina,,José Manuel López,4 FW,Palmeiras,
Argentina,,Gianluca Prestianni,4 FW,Benfica,
Argentina,,Tomás Aranda,4 FW,Boca Juniors,
Argentina,,Santiago Castro,4 FW,Bologna,
Argentina,,Claudio Echeverri,4 FW,Girona,
Argentina,,Mateo Pellegrino,4 FW,Parma,
Argentina,,Matías Soulé,4 FW,Roma,
Austria,,Alexander Schlager,1 GK,Red Bull Salzburg,
Austria,,David Affengruber,2 DF,Elche,
Austria,,Kevin Danso,2 DF,Tottenham Hotspur,
Austria,,Xaver Schlager,3 MF,RB Leipzig,
Austria,,Stefan Posch,2 DF,Mainz 05,
Austria,,Nicolas Seiwald,3 MF,RB Leipzig,
Austria,,Marko Arnautović,4 FW,Red Star Belgrade,
Austria,,David Alaba ( captain ),2 DF,Real Madrid,
Austria,,Marcel Sabitzer,3 MF,Borussia Dortmund,
Austria,,Florian Grillitsch,3 MF,Braga,
Austria,,Michael Gregoritsch,4 FW,FC Augsburg,
Austria,,Florian Wiegele,1 GK,Viktoria Plzeň,
Austria,,Patrick Pentz,1 GK,Brøndby,
Austria,,Saša Kalajdžić,4 FW,LASK,
Austria,,Philipp Lienhart,2 DF,SC Freiburg,
Austria,,Phillipp Mwene,2 DF,Mainz 05,
Austria,,Carney Chukwuemeka,3 MF,Borussia Dortmund,
Austria,,Romano Schmid,3 MF,Werder Bremen,
Austria,,Christoph Baumgartner,3 MF,RB Leipzig,
Austria,,Konrad Laimer,3 MF,Bayern Munich,
Austria,,Patrick Wimmer,3 MF,VfL Wolfsburg,
Austria,,Alexander Prass,2 DF,TSG Hoffenheim,
Austria,,Marco Friedl,2 DF,Werder Bremen,
Austria,,Paul Wanner,3 MF,PSV Eindhoven,
Austria,,Michael Svoboda,2 DF,Venezia,
Austria,,Alessandro Schöpf,3 MF,Wolfsberger AC,
Jordan,,Yazeed Abulaila,1 GK,Al-Hussein,
Jordan,,Abdallah Al-Fakhouri,1 GK,Al-Wehdat,
Jordan,,Nour Bani Attiah,1 GK,Al-Faisaly,
Jordan,,Ahmad Al-Juaidi,1 GK,Shabab Al-Ordon,
Jordan,,Ihsan Haddad ( captain ),2 DF,Al-Hussein,
Jordan,,Yazan Al-Arab,2 DF,FC Seoul,
Jordan,,Abdallah Nasib,2 DF,Al-Zawraa,
Jordan,,Saed Al-Rosan,2 DF,Al-Hussein,
Jordan,,Husam Abu Dahab,2 DF,Al-Faisaly,
Jordan,,Mo Abualnadi,2 DF,Selangor,
Jordan,,Salim Obaid,2 DF,Al-Hussein,
Jordan,,Ahmad Assaf,2 DF,Al-Hussein,
Jordan,,Anas Badawi,2 DF,Al-Faisaly,
Jordan,,Rajaei Ayed,3 MF,Al-Hussein,
Jordan,,Noor Al-Rawabdeh,3 MF,Selangor,
Jordan,,Ibrahim Sadeh,3 MF,Al-Karma,
Jordan,,Mohammad Abu Hashish,3 MF,Al-Karma,
Jordan,,Nizar Al-Rashdan,3 MF,Qatar SC,
Jordan,,Mohannad Abu Taha,3 MF,Al-Quwa Al-Jawiya,
Jordan,,Amer Jamous,3 MF,Al-Zawraa,
Jordan,,Mohammad Al-Dawoud,3 MF,Al-Wehdat,
Jordan,,Yousef Qashi,3 MF,Al-Hussein,
Jordan,,Mohammad Taha,3 MF,Al-Hussein,
Jordan,,Musa Al-Taamari,4 FW,Rennes,
Jordan,,Mahmoud Al-Mardi,4 FW,Al-Hussein,
Jordan,,Ali Olwan,4 FW,Al-Sailiya,
Jordan,,Mohammad Abu Zrayq,4 FW,Raja Casablanca,
Jordan,,Ibrahim Sabra,4 FW,Lokomotiva Zagreb,
Jordan,,Odeh Al-Fakhouri,4 FW,Pyramids,
Jordan,,Ali Azaizeh,4 FW,Al-Shabab,
Colombia,,David Ospina,1 GK,Atlético Nacional,
Colombia,,Camilo Vargas,1 GK,Atlas,
Colombia,,Álvaro Montero,1 GK,Vélez Sarsfield,
Colombia,,Davinson Sánchez,2 DF,Galatasaray,
Colombia,,Santiago Arias,2 DF,Independiente,
Colombia,,Yerry Mina,2 DF,Cagliari,
Colombia,,Daniel Muñoz,2 DF,Crystal Palace,
Colombia,,Johan Mojica,2 DF,Mallorca,
Colombia,,Jhon Lucumí,2 DF,Bologna,
Colombia,,Deiver Machado,2 DF,Nantes,
Colombia,,Willer Ditta,2 DF,Cruz Azul,
Colombia,,James Rodríguez ( captain ),3 MF,Minnesota United FC,
Colombia,,Jefferson Lerma,3 MF,Crystal Palace,
Colombia,,Juan Fernando Quintero,3 MF,River Plate,
Colombia,,Jhon Arias,3 MF,Palmeiras,
Colombia,,Richard Ríos,3 MF,Benfica,
Colombia,,Kevin Castaño,3 MF,River Plate,
Colombia,,Jorge Carrascal,3 MF,Flamengo,
Colombia,,Jaminton Campaz,3 MF,Rosario Central,
Colombia,,Juan Portilla,3 MF,Athletico Paranaense,
Colombia,,Gustavo Puerta,3 MF,Racing Santander,
Colombia,,Luis Díaz,4 FW,Bayern Munich,
Colombia,,Jhon Córdoba,4 FW,Krasnodar,
Colombia,,Luis Suárez,4 FW,Sporting CP,
Colombia,,Cucho Hernández,4 FW,Real Betis,
Colombia,,Andrés Gómez,4 FW,Vasco da Gama,
DR Congo,,Lionel Mpasi,1 GK,Le Havre,
DR Congo,,Timothy Fayulu,1 GK,Noah,
DR Congo,,Matthieu Epolo,1 GK,Standard Liège,
DR Congo,,Chancel Mbemba ( captain ),2 DF,Lille,
DR Congo,,Arthur Masuaku,2 DF,Lens,
DR Congo,,Gédéon Kalulu,2 DF,Aris Limassol,
DR Congo,,Joris Kayembe,2 DF,Genk,
DR Congo,,Dylan Batubinsika,2 DF,AEL,
DR Congo,,Axel Tuanzebe,2 DF,Burnley,
DR Congo,,Aaron Wan-Bissaka,2 DF,West Ham United,
DR Congo,,Steve Kapuadi,2 DF,Widzew Łódź,
DR Congo,,Samuel Moutoussamy,3 MF,Atromitos,
DR Congo,,Edo Kayembe,3 MF,Watford,
DR Congo,,Charles Pickel,3 MF,Espanyol,
DR Congo,,Gaël Kakuta,3 MF,AEL,
DR Congo,,Noah Sadiki,3 MF,Sunderland,
DR Congo,,Aaron Tshibola,3 MF,Kilmarnock,
DR Congo,,Ngal'ayel Mukau,3 MF,Lille,
DR Congo,,Brian Cipenga,3 MF,Castellón,
DR Congo,,Cédric Bakambu,4 FW,Real Betis,
DR Congo,,Meschak Elia,4 FW,Alanyaspor,
DR Congo,,Théo Bongonda,4 FW,Spartak Moscow,
DR Congo,,Fiston Mayele,4 FW,Pyramids,
DR Congo,,Yoane Wissa,4 FW,Newcastle United,
DR Congo,,Nathanaël Mbuku,4 FW,Montpellier,
DR Congo,,Simon Banza,4 FW,Al Jazira,
Portugal,,Diogo Costa,1 GK,Porto,
Portugal,,José Sá,1 GK,Wolverhampton Wanderers,
Portugal,,Rui Silva,1 GK,Sporting CP,
Portugal,,Rúben Dias,2 DF,Manchester City,
Portugal,,João Cancelo,2 DF,Barcelona,
Portugal,,Nélson Semedo,2 DF,Fenerbahçe,
Portugal,,Nuno Mendes,2 DF,Paris Saint-Germain,
Portugal,,Diogo Dalot,2 DF,Manchester United,
Portugal,,Gonçalo Inácio,2 DF,Sporting CP,
Portugal,,Matheus Nunes,2 DF,Manchester City,
Portugal,,Renato Veiga,2 DF,Villarreal,
Portugal,,Tomás Araújo,2 DF,Benfica,
Portugal,,Bernardo Silva,3 MF,Manchester City,
Portugal,,Bruno Fernandes,3 MF,Manchester United,
Portugal,,Rúben Neves,3 MF,Al-Hilal,
Portugal,,Vitinha,3 MF,Paris Saint-Germain,
Portugal,,João Neves,3 MF,Paris Saint-Germain,
Portugal,,Samú Costa,3 MF,Mallorca,
Portugal,,Cristiano Ronaldo ( captain ),4 FW,Al-Nassr,
Portugal,,João Félix,4 FW,Al-Nassr,
Portugal,,Rafael Leão,4 FW,Milan,
Portugal,,Gonçalo Guedes,4 FW,Real Sociedad,
Portugal,,Gonçalo Ramos,4 FW,Paris Saint-Germain,
Portugal,,Pedro Neto,4 FW,Chelsea,
Portugal,,Francisco Trincão,4 FW,Sporting CP,
Portugal,,Francisco Conceição,4 FW,Juventus,
Uzbekistan,,Utkir Yusupov,1 GK,Navbahor,
Uzbekistan,,Abduvohid Nematov,1 GK,Nasaf,
Uzbekistan,,Botirali Ergashev,1 GK,Neftchi,
Uzbekistan,,Rustam Ashurmatov,2 DF,Esteghlal,
Uzbekistan,,Farrukh Sayfiev,2 DF,Neftchi,
Uzbekistan,,Khojiakbar Alijonov,2 DF,Pakhtakor,
Uzbekistan,,Sherzod Nasrullaev,2 DF,Nasaf,
Uzbekistan,,Umar Eshmurodov,2 DF,Nasaf,
Uzbekistan,,Abdukodir Khusanov,2 DF,Manchester City,
Uzbekistan,,Abdulla Abdullaev,2 DF,Dibba,
Uzbekistan,,Bekhruz Karimov,2 DF,Surkhon,
Uzbekistan,,Jakhongir Urozov,2 DF,Dinamo Samarqand,
Uzbekistan,,Avazbek Ulmasaliev,2 DF,AGMK,
Uzbekistan,,Otabek Shukurov,3 MF,Baniyas,
Uzbekistan,,Odiljon Hamrobekov,3 MF,Tractor,
Uzbekistan,,Jamshid Iskanderov,3 MF,Neftchi,
Uzbekistan,,Akmal Mozgovoy,3 MF,Pakhtakor,
Uzbekistan,,Azizjon Ganiev,3 MF,Al Bataeh,
Uzbekistan,,Jasurbek Jaloliddinov,3 MF,Sogdiana,
Uzbekistan,,Umarali Rakhmonaliev,3 MF,Sabah,
Uzbekistan,,Sherzod Esanov,3 MF,Buxoro,
Uzbekistan,,Eldor Shomurodov ( captain ),4 FW,İstanbul Başakşehir,
Uzbekistan,,Igor Sergeev,4 FW,Persepolis,
Uzbekistan,,Jaloliddin Masharipov,4 FW,Esteghlal,
Uzbekistan,,Oston Urunov,4 FW,Persepolis,
Uzbekistan,,Dostonbek Khamdamov,4 FW,Pakhtakor,
Uzbekistan,,Abbosbek Fayzullaev,4 FW,İstanbul Başakşehir,
Uzbekistan,,Azizbek Amonov,4 FW,Buxoro,
Uzbekistan,,Ruslanbek Jiyanov,4 FW,Navbahor,
Uzbekistan,,Sherzod Temirov,4 FW,Erbil,
Croatia,,Dominik Livaković,1 GK,Dinamo Zagreb,
Croatia,,Dominik Kotarski,1 GK,Copenhagen,
Croatia,,Ivor Pandur,1 GK,Hull City,
Croatia,,Joško Gvardiol,2 DF,Manchester City,
Croatia,,Duje Ćaleta-Car,2 DF,Real Sociedad,
Croatia,,Josip Šutalo,2 DF,Ajax,
Croatia,,Josip Stanišić,2 DF,Bayern Munich,
Croatia,,Marin Pongračić,2 DF,Fiorentina,
Croatia,,Martin Erlić,2 DF,Midtjylland,
Croatia,,Luka Vušković,2 DF,Hamburger SV,
Croatia,,Luka Modrić ( captain ),3 MF,Milan,
Croatia,,Mateo Kovačić,3 MF,Manchester City,
Croatia,,Mario Pašalić,3 MF,Atalanta,
Croatia,,Nikola Vlašić,3 MF,Torino,
Croatia,,Luka Sučić,3 MF,Real Sociedad,
Croatia,,Martin Baturina,3 MF,Como,
Croatia,,Kristijan Jakić,3 MF,FC Augsburg,
Croatia,,Petar Sučić,3 MF,Inter Milan,
Croatia,,Nikola Moro,3 MF,Bologna,
Croatia,,Toni Fruk,3 MF,Rijeka,
Croatia,,Ivan Perišić,4 FW,PSV Eindhoven,
Croatia,,Andrej Kramarić,4 FW,TSG Hoffenheim,
Croatia,,Ante Budimir,4 FW,Osasuna,
Croatia,,Marco Pašalić,4 FW,Orlando City,
Croatia,,Petar Musa,4 FW,FC Dallas,
Croatia,,Igor Matanović,4 FW,SC Freiburg,
England,,Jordan Pickford,1 GK,Everton,
England,,Dean Henderson,1 GK,Crystal Palace,
England,,James Trafford,1 GK,Manchester City,
England,,John Stones,2 DF,Manchester City,
England,,Marc Guéhi,2 DF,Manchester City,
England,,Reece James,2 DF,Chelsea,
England,,Ezri Konsa,2 DF,Aston Villa,
England,,Dan Burn,2 DF,Newcastle United,
England,,Tino Livramento,2 DF,Newcastle United,
England,,Djed Spence,2 DF,Tottenham Hotspur,
England,,Nico O'Reilly,2 DF,Manchester City,
England,,Jarell Quansah,2 DF,Bayer Leverkusen,
England,,Jordan Henderson,3 MF,Brentford,
England,,Declan Rice,3 MF,Arsenal,
England,,Jude Bellingham,3 MF,Real Madrid,
England,,Morgan Rogers,3 MF,Aston Villa,
England,,Kobbie Mainoo,3 MF,Manchester United,
England,,Elliot Anderson,3 MF,Nottingham Forest,
England,,Harry Kane ( captain ),4 FW,Bayern Munich,
England,,Marcus Rashford,4 FW,Barcelona,
England,,Bukayo Saka,4 FW,Arsenal,
England,,Ollie Watkins,4 FW,Aston Villa,
England,,Anthony Gordon,4 FW,Newcastle United,
England,,Eberechi Eze,4 FW,Arsenal,
England,,Noni Madueke,4 FW,Arsenal,
England,,Ivan Toney,4 FW,Al-Ahli,
Ghana,,Lawrence Ati-Zigi,1 GK,St. Gallen,
Ghana,,Benjamin Asare,1 GK,Hearts of Oak,
Ghana,,Solomon Agbasi,1 GK,Hearts of Oak,
Ghana,,Joseph Anang,1 GK,St Patrick's Athletic,
Ghana,,Paul Reverson,1 GK,Jong Ajax,
Ghana,,Abdul Rahman Baba,2 DF,PAOK,
Ghana,,Gideon Mensah,2 DF,Auxerre,
Ghana,,Alexander Djiku,2 DF,Spartak Moscow,
Ghana,,Alidu Seidu,2 DF,Rennes,
Ghana,,Jerome Opoku,2 DF,İstanbul Başakşehir,
Ghana,,Jonas Adjetey,2 DF,VfL Wolfsburg,
Ghana,,Abdul Mumin,2 DF,Rayo Vallecano,
Ghana,,Kojo Peprah Oppong,2 DF,Nice,
Ghana,,Marvin Senaya,2 DF,Auxerre,
Ghana,,Thomas Partey,3 MF,Villarreal,
Ghana,,Abdul Fatawu,3 MF,Leicester City,
Ghana,,Kamaldeen Sulemana,3 MF,Atalanta,
Ghana,,Elisha Owusu,3 MF,Auxerre,
Ghana,,Caleb Yirenkyi,3 MF,Nordsjælland,
Ghana,,Kwasi Sibo,3 MF,Oviedo,
Ghana,,Augustine Boakye,3 MF,Saint-Étienne,
Ghana,,Jordan Ayew ( captain ),4 FW,Leicester City,
Ghana,,Antoine Semenyo,4 FW,Manchester City,
Ghana,,Iñaki Williams,4 FW,Athletic Bilbao,
Ghana,,Ernest Nuamah,4 FW,Lyon,
Ghana,,Christopher Bonsu Baah,4 FW,Al-Qadsiah,
Ghana,,Brandon Thomas-Asante,4 FW,Coventry City,
Ghana,,Prince Kwabena Adu,4 FW,Viktoria Plzeň,
Panama,,Luis Mejía,1 GK,Nacional,
Panama,,Orlando Mosquera,1 GK,Al-Fayha,
Panama,,César Samudio,1 GK,Marathón,
Panama,,Eric Davis,2 DF,Plaza Amador,
Panama,,Fidel Escobar,2 DF,Saprissa,
Panama,,Michael Amir Murillo,2 DF,Beşiktaş,
Panama,,Roderick Miller,2 DF,Turan Tovuz,
Panama,,Andrés Andrade,2 DF,LASK,
Panama,,César Blackman,2 DF,Slovan Bratislava,
Panama,,José Córdoba,2 DF,Norwich City,
Panama,,Jiovany Ramos,2 DF,Puerto Cabello,
Panama,,Jorge Gutiérrez,2 DF,Deportivo La Guaira,
Panama,,Edgardo Fariña,2 DF,Pari Nizhny Novgorod,
Panama,,Aníbal Godoy ( captain ),3 MF,San Diego FC,
Panama,,Alberto Quintero,3 MF,Plaza Amador,
Panama,,Yoel Bárcenas,3 MF,Mazatlán,
Panama,,Adalberto Carrasquilla,3 MF,UNAM,
Panama,,José Luis Rodríguez,3 MF,Juárez,
Panama,,Cristian Martínez,3 MF,Ironi Kiryat Shmona,
Panama,,César Yanis,3 MF,Cobresal,
Panama,,Carlos Harvey,3 MF,Minnesota United FC,
Panama,,Azarias Londoño,3 MF,Universidad Católica,
Panama,,José Fajardo,4 FW,Universidad Católica,
Panama,,Ismael Díaz,4 FW,León,
Panama,,Cecilio Waterman,4 FW,Universidad de Concepción,
Panama,,Tomás Rodríguez,4 FW,Saprissa,
